"Name","Example","Description","Type","Min","Max","Default"
"Acquisition_Multiplier","[link](../json/campaign-coitalactriskfactors_acquisition_multiplier.json)","Multiplier for STI acquisition probability per coital act.","float","0","100","1"
"Cost_To_Consumer","[link](../json/campaign-coitalactriskfactors_cost_to_consumer.json)","The unit 'cost' assigned to the intervention. Setting **Cost_To_Consumer** to zero for all other interventions, and to a non-zero amount for one intervention, provides a convenient way to track the number of times the intervention has been applied in a simulation.","float","0","999999","10"
"Disqualifying_Properties","[link](../json/campaign-coitalactriskfactors_disqualifying_properties.json)","A list of **IndividualProperty** key:value pairs that will prevent an intervention from being distributed or applied/updated. See :ref:`demo-properties` parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.","array of strings","NA","NA","[]"
"Dont_Allow_Duplicates","[link](../json/campaign-coitalactriskfactors_dont_allow_duplicates.json)","If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.","boolean","0","1","0"
"Expiration_Constant","[link](../json/campaign-coitalactriskfactors_expiration_constant.json)","Each instance will receive this constant/fixed value.","float","0","3.40282e+38","6"
"Expiration_Distribution","[link](../json/campaign-coitalactriskfactors_expiration_distribution.json)","The distribution type to use for setting the expiration of the intervention. Each assigned value is a random draw from the distribution. Possible values are:<br> <br> * NOT_INITIALIZED<br> * CONSTANT_DISTRIBUTION<br> * UNIFORM_DISTRIBUTION<br> * GAUSSIAN_DISTRIBUTION<br> * EXPONENTIAL_DISTRIBUTION<br> * POISSON_DISTRIBUTION<br> * LOG_NORMAL_DISTRIBUTION<br> * DUAL_CONSTANT_DISTRIBUTION<br> * WEIBULL_DISTRIBUTION<br> * DUAL_EXPONENTIAL_DISTRIBUTION","enum","NA","NA","NOT_INITIALIZED"
"Expiration_Event_Trigger","[link](../json/campaign-coitalactriskfactors_expiration_event_trigger.json)","When the intervention expires, this event will be broadcasted. See :doc:`parameter-campaign-event-list` for possible built-in values, or create custom values using **Custom_Individual_Events**.","string","NA","NA",""""""
"Expiration_Exponential","[link](../json/campaign-coitalactriskfactors_expiration_exponential.json)","The mean for an exponential distribution.","float","0","3.40282e+38","6"
"Expiration_Gaussian_Mean","[link](../json/campaign-coitalactriskfactors_expiration_gaussian_mean.json)","The mean for a Gaussian distribution.","float","0","3.40282e+38","6"
"Expiration_Gaussian_Std_Dev","[link](../json/campaign-coitalactriskfactors_expiration_gaussian_std_dev.json)","The standard deviation for a Gaussian distribution.","float","1.17549e-38","3.40282e+38","1"
"Expiration_Kappa","[link](../json/campaign-coitalactriskfactors_expiration_kappa.json)","The shape value in a Weibull distribution.","float","1.17549e-38","3.40282e+38","1"
"Expiration_Lambda","[link](../json/campaign-coitalactriskfactors_expiration_lambda.json)","The scale value in a Weibull distribution.","float","1.17549e-38","3.40282e+38","1"
"Expiration_Log_Normal_Mu","[link](../json/campaign-coitalactriskfactors_expiration_log_normal_mu.json)","The mean for a log-normal distribution.","float","-3.40282e+38","3.40282e+38","1"
"Expiration_Max","[link](../json/campaign-coitalactriskfactors_expiration_max.json)","The maximum of the uniform distribution.","float","0","3.40282e+38","1"
"Expiration_Mean_1","[link](../json/campaign-coitalactriskfactors_expiration_mean_1.json)","The mean of the first exponential distribution.","float","1.17549e-38","3.40282e+38","1"
"Expiration_Mean_2","[link](../json/campaign-coitalactriskfactors_expiration_mean_2.json)","The mean of the second exponential distribution.","float","1.17549e-38","3.40282e+38","1"
"Expiration_Min","[link](../json/campaign-coitalactriskfactors_expiration_min.json)","The minimum of the uniform distribution.","float","0","3.40282e+38","0"
"Expiration_Peak_2_Value","[link](../json/campaign-coitalactriskfactors_expiration_peak_2_value.json)","The value to assign to the remaining individuals.","float","0","3.40282e+38","1"
"Expiration_Poisson_Mean","[link](../json/campaign-coitalactriskfactors_expiration_poisson_mean.json)","The mean for a Poisson distribution.","float","0","3.40282e+38","6"
"Expiration_Proportion_0","[link](../json/campaign-coitalactriskfactors_expiration_proportion_0.json)","The proportion of individuals to assign a value of zero.","float","0","1","1"
"Expiration_Proportion_1","[link](../json/campaign-coitalactriskfactors_expiration_proportion_1.json)","The proportion of individuals in the first exponential distribution.","float","0","1","1"
"Intervention_Name","[link](../json/campaign-coitalactriskfactors_intervention_name.json)","The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.","string","NA","NA","CoitalActRiskFactors"
"New_Property_Value","[link](../json/campaign-coitalactriskfactors_new_property_value.json)","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is distributed. See :ref:`demo-properties` parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one.","string","NA","NA",""""""
"Transmission_Multiplier","[link](../json/campaign-coitalactriskfactors_transmission_multiplier.json)","Multiplier for STI transmission probability per coital act.","float","0","100","1"
