"Name","Example","Description","Type","Min","Max","Default"
"Action_List","[link](../json/campaign-incidenceeventcoordinator_action_list.json)","List (array) of JSON objects, including the values specified in the following parameters: **Threshold**, **Event_Type**, **Event_To_Broadcast**.","array of json objects","","","[]"
"Coordinator_Name","","The unique identifying coordinator name, which is useful with the output report, ReportCoordinatorEventRecorder.csv.","string","NA","NA",""""""
"Count_Events_For_Num_Timesteps","[link](../json/campaign-incidenceeventcoordinator_count_events_for_num_timesteps.json)","If set to true (1), then the waning effect values, as specified in the Effect_List list of objects for the WaningEffectCombo classes, are added together. If set to false (0), the waning effect values are multiplied. The resulting waning effect value cannot be greater than 1.","boolean","0","1","1"
"Demographic_Coverage","[link](../json/campaign-incidenceeventcoordinator_demographic_coverage.json)","The fraction of individuals in the target demographic that are counted.","float","0","1","1"
"Event_To_Broadcast","[link](../json/campaign-incidenceeventcoordinator_event_to_broadcast.json)","The action event to occur when the specified trigger value in the **Threshold** parameter is met. At least one action must be defined for **Event_To_Broadcast**. The events contained in the list can be built-in events (see :doc:`parameter-campaign-event-list` for possible events).","string","NA","NA",""""""
"Event_Type","[link](../json/campaign-incidenceeventcoordinator_event_type.json)","The type of event to be broadcast.  Possible values are:<br> <br> * COORDINATOR<br> * INDIVIDUAL<br> * NODE","string","NA","NA","INDIVIDUAL"
"Incidence_Counter","[link](../json/campaign-incidenceeventcoordinator_incidence_counter.json)","List of JSON objects for specifying the conditions and parameters that must be met for an incidence to be counted. Some of the values are specified in the following parameters: **Count_Events_For_Num_Timesteps**, **Trigger_Condition_List**, **Node_Property_Restrictions**.","array of json objects","NA","NA","NA"
"Node_Property_Restrictions","[link](../json/campaign-incidenceeventcoordinator_node_property_restrictions.json)","A list of the **NodeProperty** key:value pairs, as defined in the demographics file, that nodes must have to be targeted by the intervention. See :ref:`demo-properties` parameters for more information.","array of json objects","NA","NA","NA"
"Number_Repetitions","[link](../json/campaign-incidenceeventcoordinator_number_repetitions.json)","The number of times an intervention is given, used with **Timesteps_Between_Repetitions**. A value of -1 implies an infinite number of repetitions.","integer","-1","10000","1"
"Property_Restrictions","[link](../json/campaign-incidenceeventcoordinator_property_restrictions.json)","A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See :ref:`demo-properties` parameters for more information.<br> <br> To specify AND and OR combinations of key:value pairs, use **Property_Restrictions_Within_Node**. You cannot use both of these parameters in the same event coordinator.","array of json objects","NA","NA","NA"
"Property_Restrictions_Within_Node","[link](../json/campaign-incidenceeventcoordinator_property_restrictions_within_node.json)","A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See :ref:`demo-properties` parameters for more information.<br> <br> This parameter allows you to specify AND and OR combinations of key:value pairs. You may specify individual property restrictions using either this parameter or **Property_Restrictions**, but not both.","array of json objects","NA","NA","NA"
"Responder","[link](../json/campaign-incidenceeventcoordinator_responder.json)","List of JSON objects for specifying the threshold type, values, and the actions to take when the specified conditions and parameters have been met, as configured in the **Incidence_Counter** parameter. Some of the values are specified in the following parameters:<br> <br> * **Threshold_Type**<br> * **Action_List**<br> * **Threshold**<br> * **Event_To_Broadcast**","array of json objects","NA","NA","NA"
"Target_Age_Max","[link](../json/campaign-incidenceeventcoordinator_target_age_max.json)","The upper end of ages targeted for an intervention, in years. Used when **Target_Demographic** is set to ExplicitAgeRanges or ExplicitAgeRangesAndGender.","float","-3","9.32E+35","9.32E+35"
"Target_Age_Min","[link](../json/campaign-incidenceeventcoordinator_target_age_min.json)","The lower end of ages targeted for an intervention, in years. Used when **Target_Demographic** is set to ExplicitAgeRanges or ExplicitAgeRangesAndGender.","float","0","9.3228e+35","0"
"Target_Demographic","[link](../json/campaign-incidenceeventcoordinator_target_demographic.json)","The target demographic group. Possible values are:<br> <br> * Everyone<br> * ExplicitAgeRanges<br> * ExplicitAgeRangesAndGender<br> * ExplicitGender<br> * ExplicitDiseaseState","enum","NA","NA","Everyone"
"Target_Gender","[link](../json/campaign-incidenceeventcoordinator_target_gender.json)","Specifies the gender restriction for the intervention. Possible values are:<br> <br> * Male<br> * Female<br> * All","enum","NA","NA","All"
"Target_Residents_Only","[link](../json/campaign-incidenceeventcoordinator_target_residents_only.json)","When set to true (1), the intervention is only distributed to individuals that began the simulation in the node (i.e. those that claim the node as their residence).","boolean","0","1","0"
"Targeting_Config","[link](../json/campaign-incidenceeventcoordinator_targeting_config.json)","Be more selective of individuals by using the :doc:`parameter-campaign-targeting-config`.","json object","NA","NA","NA"
"Threshold","[link](../json/campaign-incidenceeventcoordinator_threshold.json)","The threshold value that triggers the specified action for the **Event_To_Broadcast** parameter. When you use the **Threshold** parameter you must also use the **Event_To_Broadcast** parameter.","float","0","3.40282e+38","0"
"Threshold_Type","[link](../json/campaign-incidenceeventcoordinator_threshold_type.json)","Threshold type to indicate how **Responder** handles the count of events from **Incidence_Counter** and the thresholds in **Action_List**. Possible values are:<br> <br> * COUNT<br> * PERCENTAGE.","enum","NA","NA","COUNT"
"Timesteps_Between_Repetitions","[link](../json/campaign-incidenceeventcoordinator_timesteps_between_repetitions.json)","The repetition interval.","integer","-1","1000","-1"
"Trigger_Condition_List","[link](../json/campaign-incidenceeventcoordinator_trigger_condition_list.json)","A list of events that will trigger an intervention.","array of strings","NA","NA","[]"
