"Name","Type","Min","Max","Default","Description","Example"
"Boost_Acquire","float","0","1","0","Specifies the boosting effect on acquisition immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine. This does not replace current immunity, it builds multiplicatively on top of it.","[link](../json/campaign-individualimmunitychanger_boost_acquire.json)"
"Boost_Mortality","float","0","1","0","Specifies the boosting effect on mortality immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine. This does not replace current immunity, it builds multiplicatively on top of it.","[link](../json/campaign-individualimmunitychanger_boost_mortality.json)"
"Boost_Threshold_Acquire","float","0","1","0","Specifies how much acquisition immunity is required before the vaccine changes from a prime to a boost.","[link](../json/campaign-individualimmunitychanger_boost_threshold_acquire.json)"
"Boost_Threshold_Mortality","float","0","1","0","Specifies how much mortality immunity is required before the vaccine changes from a prime to a boost.","[link](../json/campaign-individualimmunitychanger_boost_threshold_mortality.json)"
"Boost_Threshold_Transmit","float","0","1","0","Specifies how much transmission immunity is required before the vaccine changes from a prime to a boost.","[link](../json/campaign-individualimmunitychanger_boost_threshold_transmit.json)"
"Boost_Transmit","float","0","1","0","Specifies the boosting effect on transmission immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine. This does not replace current immunity, it builds multiplicatively on top of it.","[link](../json/campaign-individualimmunitychanger_boost_transmit.json)"
"Cost_To_Consumer","float","0","999999","1","The unit cost per vaccine (unamortized).","[link](../json/campaign-individualimmunitychanger_cost_to_consumer.json)"
"Prime_Acquire","float","0","1","0","Specifies the priming effect on acquisition immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine.","[link](../json/campaign-individualimmunitychanger_prime_acquire.json)"
"Prime_Mortality","float","0","1","0","Specifies the priming effect on mortality immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine.","[link](../json/campaign-individualimmunitychanger_prime_mortality.json)"
"Prime_Transmit","float","0","1","0","Specifies the priming effect on transmission immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine.","[link](../json/campaign-individualimmunitychanger_prime_transmit.json)"
