"Name","Example","Description","Type","Min","Max","Default"
"Cost_To_Consumer","[link](../json/campaign-individualnondiseasedeathratemodifier_cost_to_consumer.json)","The cost of getting the non-disease death modifier each time it is distributed.","float","999999","0","0"
"Disqualifying_Properties","[link](../json/campaign-individualnondiseasedeathratemodifier_disqualifying_properties.json)","A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See :ref:`demo-properties` parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.","array of strings","NA","NA","[]"
"Dont_Allow_Duplicates","[link](../json/campaign-individualnondiseasedeathratemodifier_dont_allow_duplicates.json)","If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.","boolean","0","1","0"
"Duration_To_Modifier","[link](../json/campaign-individualnondiseasedeathratemodifier_duration_to_modifier.json)","An array of Times and Values used to specify different modifiers over the duration of the intervention. Linear interpolation is used to find the values between time points. If the duration exceeds the max time, then the last modifier value will be used.","array of json objects","NA","NA","NA"
"Expiration_Duration_Constant","[link](../json/campaign-individualnondiseasedeathratemodifier_expiration_duration_constant.json)","Each instance will receive this constant/fixed value.","float","0","3.40282e+38","6"
"Expiration_Duration_Distribution","[link](../json/campaign-individualnondiseasedeathratemodifier_expiration_duration_distribution.json)","For the distribution of each intervention, a randomly selected duration from this distribution will determine when the person stops using the intervention. This is independent of how long the intervention is effective. Possible values are:<br> <br> * NOT_INITIALIZED<br> * CONSTANT_DISTRIBUTION<br> * UNIFORM_DISTRIBUTION<br> * GAUSSIAN_DISTRIBUTION<br> * EXPONENTIAL_DISTRIBUTION<br> * POISSON_DISTRIBUTION<br> * LOG_NORMAL_DISTRIBUTION<br> * DUAL_CONSTANT_DISTRIBUTION<br> * WEIBULL_DISTRIBUTION<br> * DUAL_EXPONENTIAL_DISTRIBUTION","enum","NA","NA","NOT_INITIALIZED"
"Expiration_Duration_Exponential","[link](../json/campaign-individualnondiseasedeathratemodifier_expiration_duration_exponential.json)","The mean for an exponential distribution.","float","0","3.40282e+38","6"
"Expiration_Duration_Gaussian_Mean","[link](../json/campaign-individualnondiseasedeathratemodifier_expiration_duration_gaussian_mean.json)","The mean for a Gaussian distribution.","float","0","3.40282e+38","6"
"Expiration_Duration_Gaussian_Std_Dev","[link](../json/campaign-individualnondiseasedeathratemodifier_expiration_duration_gaussian_std_dev.json)","The standard deviation for a Gaussian distribution.","float","1.17549e-38","3.40282e+38","1"
"Expiration_Duration_Kappa","[link](../json/campaign-individualnondiseasedeathratemodifier_expiration_duration_kappa.json)","The shape value in a Weibull distribution.","float","1.17549e-38","3.40282e+38","1"
"Expiration_Duration_Lambda","[link](../json/campaign-individualnondiseasedeathratemodifier_expiration_duration_lambda.json)","The scale value in a Weibull distribution.","float","1.17549e-38","3.40282e+38","1"
"Expiration_Duration_Log_Normal_Mu","[link](../json/campaign-individualnondiseasedeathratemodifier_expiration_duration_log_normal_mu.json)","The mean for a log-normal distribution.","float","-3.40282e+38","3.40282e+38","6"
"Expiration_Duration_Log_Normal_Sigma","[link](../json/campaign-individualnondiseasedeathratemodifier_expiration_duration_log_normal_sigma.json)","The width for a log-normal distribution.","float","-3.40282e+38","3.40282e+38","1"
"Expiration_Duration_Max","[link](../json/campaign-individualnondiseasedeathratemodifier_expiration_duration_max.json)","The maximum of the uniform distribution.","float","0","3.40282e+38","1"
"Expiration_Duration_Mean_1","[link](../json/campaign-individualnondiseasedeathratemodifier_expiration_duration_mean_1.json)","The mean of the first exponential distribution.","float","1.17549e-38","3.40282e+38","1"
"Expiration_Duration_Mean_2","[link](../json/campaign-individualnondiseasedeathratemodifier_expiration_duration_mean_2.json)","The mean of the second exponential distribution.","float","1.17549e-38","3.40282e+38","1"
"Expiration_Duration_Min","[link](../json/campaign-individualnondiseasedeathratemodifier_expiration_duration_min.json)","The minimum of the uniform distribution.","float","0","3.40282e+38","0"
"Expiration_Duration_Peak_2_Value","[link](../json/campaign-individualnondiseasedeathratemodifier_expiration_duration_peak_2_value.json)","The value to assign to the remaining individuals.","float","0","3.40282e+38","1"
"Expiration_Duration_Poisson_Mean","[link](../json/campaign-individualnondiseasedeathratemodifier_expiration_duration_poisson_mean.json)","The mean for a Poisson distribution.","float","0","3.40282e+38","6"
"Expiration_Duration_Proportion_0","[link](../json/campaign-individualnondiseasedeathratemodifier_expiration_duration_proportion_0.json)","The proportion of individuals to assign a value of zero.","float","0","1","1"
"Expiration_Duration_Proportion_1","[link](../json/campaign-individualnondiseasedeathratemodifier_expiration_duration_proportion_1.json)","The proportion of individuals in the first exponential distribution.","float","0","1","1"
"Expiration_Event","[link](../json/campaign-individualnondiseasedeathratemodifier_expiration_event.json)","When the person stops using the intervention, this event will be broadcasted. See :doc:`parameter-campaign-event-list` for possible values or define custom events using config parameter **Custom_Individual_Events**.","string","NA","NA",""""""
"Intervention_Name","[link](../json/campaign-individualnondiseasedeathratemodifier_intervention_name.json)","The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.","string","NA","NA","IndividualNonDiseaseDeathRateModifier"
"New_Property_Value","[link](../json/campaign-individualnondiseasedeathratemodifier_new_property_value.json)","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is distributed. See :ref:`demo-properties` parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one.","string","NA","NA",""""""
