"Name","Example","Type","Min","Max","Default","Description"
"Age_Ranges_Years","[link](../json/campaign-nchoosereventcoordinatorhiv_age_ranges_years.json)","array of json objects","NA","NA","NA","A list of age ranges that individuals must be in to qualify for an intervention. Each age range is a JSON object with a minimum and a maximum property. An individual is considered in range if their age is greater than or equal to the minimum age and less than the maximum age, in floating point years of age. It must have the same number of objects as **Num_Targeted_XXX** has elements."
"Distributions","[link](../json/campaign-nchoosereventcoordinatorhiv_distributions.json)","array of json objects","NA","NA","[]","The ordered list of elements defining when, to whom, and how many interventions to distribute."
"End_Year","[link](../json/campaign-nchoosereventcoordinatorhiv_end_year.json)","float","1900","2200","2200","The year to stop distributing the intervention. Defines the time period to distribute the intervention along with **Start_Year**. The intervention is evenly distributed between each time step in the time period."
"Intervention_Config","[link](../json/campaign-nchoosereventcoordinatorhiv_intervention_config.json)","json object","NA","NA","NA","The nested JSON of the actual intervention to be distributed by this event coordinator."
"Num_Targeted","[link](../json/campaign-nchoosereventcoordinatorhiv_num_targeted.json)","array of integers","0","2147480000","0","The number of individuals to target with the intervention. Note that this value will be scaled up by the population scaling factor equal to **Base_Population_Scale_Factor**. If using this parameter, **Num_Targeted_Males** and **Num_Targeted_Females** must be empty."
"Num_Targeted_Females","[link](../json/campaign-nchoosereventcoordinatorhiv_num_targeted_females.json)","array of integers","0","2147480000","0","The number of female individuals to distribute interventions to during this time period. If using this parameter with **Num_Targeted_Males** to target specific genders, they both must be the same length, and **Num_Targeted** must be empty."
"Num_Targeted_Males","[link](../json/campaign-nchoosereventcoordinatorhiv_num_targeted_males.json)","array of integers","0","2147480000","0","The number of male individuals to distribute interventions to during this time period. If using this parameter with **Num_Targeted_Females** to target specific genders, they both must be the same length, and **Num_Targeted** must be empty."
"Property_Restrictions_Within_Node","The following example restricts the intervention to individuals who are urban and high risk or urban and medium risk.
[link](../json/campaign-nchoosereventcoordinatorhiv_property_restrictions_within_node.json)","array of json objects","NA","NA","NA","A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See :ref:`demo-properties` parameters for more information.<br> <br> This parameter allows you to specify AND and OR combinations of key:value pairs. You may specify individual property restrictions using either this parameter or **Property_Restrictions**, but not both."
"Start_Year","[link](../json/campaign-nchoosereventcoordinatorhiv_start_year.json)","float","1900","2200","1900","The year to start distributing the intervention. Defines the time period to distribute the intervention along with **End_Year**. The intervention is evenly distributed between each time step in the time period. To have the intervention applied other than at the beginning of the year, you must enter a decimal value after the year. For example, 2010.5 would have the intervention applied halfway through the year 2010."
"Target_Disease_State","[link](../json/campaign-nchoosereventcoordinatorhiv_target_disease_state.json)","array of strings","NA","NA","NA","A two-dimensional array of particular disease states. To qualify for the intervention, an individual must have only one of the targeted disease states. An individual must have all of the disease states in the inner array. Possible values are: <br> <br> * HIV_Positive <br> * HIV_Negative <br> * Tested_Positive <br> * Tested_Negative <br> * Male_Circumcision_Positive <br> * Male_Circumcision_Negative <br> * Has_Intervention <br> * Not_have_Intervention"
"Target_Disease_State_Has_Intervention_Name","[link](../json/campaign-nchoosereventcoordinatorhiv_target_disease_state_has_intervention_name.json)","string","NA","NA","NA","The name of the intervention to look for in an individual when using Has_Intervention or Not_have_Intervention in **Target_Disease_State**."
