"Name","Example","Type","Min","Max","Default","Description"
"Custom_Coordinator_Events","[link](../json/config-output-configfile-hiv_custom_coordinator_events.json)","array of strings","NA","NA","[]","The list of valid, user-defined Coordinator Events that will be included in the campaign. These are specifically events which apply with **EventCoordinators**, such completing distribution of a collection of interventions. Any event used in the campaign must be in this list."
"Custom_Individual_Events","[link](../json/config-output-configfile-hiv_custom_individual_events.json)","array of strings","NA","NA","[]","The list of valid, user-defined Individual Events that will be included in the campaign. These are specifically events which apply at an individual level, such as receiving a vaccine. Any individual event used in the campaign must either be one of the built-in events or in this list. See :doc:`parameter-campaign-event-list` for a list of all possible built-in events."
"Custom_Node_Events","[link](../json/config-output-configfile-hiv_custom_node_events.json)","array of strings","NA","NA","[]","The list of valid, user-defined Node Events that will be included in the campaign. These are specifically events which apply at the node/location level, such as finishing using an **EnvironmentalDiagnostic**. Any event used in the campaign must be in this list."
"Custom_Reports_Filename","[link](../json/config-output-configfile-hiv_custom_reports_filename.json)","string","NA","NA","""""","The name of the file containing custom report configuration parameters. Omitting this parameter or setting it to RunAllCustomReports will load all reporters found that are valid for the given simulation type. The file must be in JSON format."
"Enable_Default_Reporting","[link](../json/config-output-configfile-hiv_enable_default_reporting.json)","boolean","0","1","1","Controls whether or not the default InsetChart.json report is created."
"Enable_Demographics_Reporting","[link](../json/config-output-configfile-hiv_enable_demographics_reporting.json)","boolean","0","1","1","Controls whether or not demographic summary data and age-binned reports are outputted to file."
"Enable_Property_Output","[link](../json/config-output-configfile-hiv_enable_property_output.json)","boolean","0","1","0","Controls whether or not to create property output reports, which detail groups as defined in **IndividualProperties** in the demographics file (see :ref:`demo-properties` parameters).  When there is more than one property type, the report will display the channel information for all combinations of the property type groups."
"Enable_Spatial_Output","[link](../json/config-output-configfile-hiv_enable_spatial_output.json)","boolean","0","1","0","Controls whether or not spatial output reports are created. If set to true (1), spatial output reports include all channels listed in the parameter **Spatial_Output_Channels**. <br> <br> .. note:: <br> <br> Spatial output files require significant processing time and disk space."
"Event_Trigger_List","[link](../json/config-output-configfile-hiv_event_trigger_list.json)","array of strings","NA","NA","NA","The list of event triggers for the events included in the report."
"Max_Number_Reports","[link](../json/config-output-configfile-hiv_max_number_reports.json)","float","1","1000000","1","Used by reports and custom reports. The maximum number of report output files that will be produced for a given simulation."
"Pretty_Format","[link](../json/config-output-configfile-hiv_pretty_format.json)","boolean","0","1","0","True (1) sets pretty JSON formatting, which includes carriage returns, line feeds, and spaces for easier readability. The default, false (0), saves space where everything is on one line."
"Report_Coital_Acts","[link](../json/config-output-configfile-hiv_report_coital_acts.json)","boolean","0","1","0","Set to true (1) to enable or to false (0) to disable the RelationshipConsummatedReport.csv output report."
"Report_Coordinator_Event_Recorder","[link](../json/config-output-configfile-hiv_report_coordinator_event_recorder.json)","boolean","0","1","0","Enables or disables the ReportCoordinatorEventRecorder.csv output report for coordinator events. When enabled (set to 1) reports will be generated for the broadcasted valid coordinator events, as specified in **Report_Coordinator_Event_Recorder_Events**."
"Report_Coordinator_Event_Recorder_Events","[link](../json/config-output-configfile-hiv_report_coordinator_event_recorder_events.json)","array of strings","NA","NA","[]","The list of events to include or exclude in the ReportCoordinatorEventRecorder.csv output report, based on how **Report_Coordinator_Event_Recorder_Ignore_Events_In_List** is set. This list must not be empty and is dependent upon **Report_Coordinator_Event_Recorder** being enabled. In addition, the events must be defined in **Customer_Coordinator_Events**."
"Report_Coordinator_Event_Recorder_Ignore_Events_In_List","[link](../json/config-output-configfile-hiv_report_coordinator_event_recorder_ignore_events_in_list.json)","boolean","0","1","0","If set to false (0), only the events listed in the **Report_Coordinator_Event_Recorder_Events** array will be included in the ReportCoordinatorEventRecorder.csv output report. If set to true (1), only the events listed in the array will be excluded, and all other events will be included. If you want to return all events from the simulation, leave the events array empty."
"Report_Event_Recorder","[link](../json/config-output-configfile-hiv_report_event_recorder.json)","boolean","0","1","0","Set to 1 to generate the report."
"Report_Event_Recorder_End_Day","[link](../json/config-output-configfile-hiv_report_event_recorder_end_day.json)","float","0","3.40282e+38","3.40282e+38","The day of the simulation to stop collecting data."
