"Name","Example","Description","Type","Min","Max","Default"
"Airport","[link](../json/demo-nodeattributes-hiv_airport.json)","Indicates whether or not the node has an airport for air migration from (not to) the node. If set to 1, **Enable_Air_Migration** in the configuration file must be set to 1 or migration will not occur (see :doc:`parameter-configuration-migration` parameters). Primarily used to turn off migration in a particular node.","boolean","0","1","0"
"BirthRate","[link](../json/demo-nodeattributes-hiv_birthrate.json)","The birth rate, in births per person per day. In the configuration file, **Enable_Birth** must be set to 1 and **Birth_Rate_Dependence** will affect how this rate is used (see :doc:`parameter-configuration-population` parameters).","double","0","1","0.00008715"
"InfectivityReservoirEndTime","[link](../json/demo-nodeattributes-hiv_infectivityreservoirendtime.json)","The ending of the exogeneous reservoir of infectivity. This parameter is conditional upon the configuration parameter, **Enable_Infectivity_Reservoir**, being enabled (set to 1).","float","InfectivityReservoirStartTime","3.40282e+038","3.40282e+038"
"InfectivityReservoirSize","[link](../json/demo-nodeattributes-hiv_infectivityreservoirsize.json)","The quantity-per-timestep added to the total infectivity present in a node; it is equivalent to the expected number of additional infections in a node, per timestep. For example, if timestep is equal to a day, then setting **InfectivityReservoirSize** to a value of 0.1 would introduce an infection every 10 days from the exogenous reservoir. This parameter is conditional upon the configuration parameter, **Enable_Infectivity_Reservoir**, being enabled (set to 1).","float","0","3.40282e+038","0"
"InfectivityReservoirStartTime","[link](../json/demo-nodeattributes-hiv_infectivityreservoirstarttime.json)","The beginning of the exogeneous reservoir of infectivity. This parameter is conditional upon the configuration parameter, **Enable_Infectivity_Reservoir**, being enabled (set to 1).","float","0","3.40282e+038","0"
"InitialPopulation","[link](../json/demo-nodeattributes-hiv_initialpopulation.json)","The number of people that will be populated into the node at the beginning of the simulation. You can scale this number using **Base_Population_Scale_Factor** in the configuration file (see :doc:`parameter-configuration-population` parameters).","integer","0","2147480000","1000"
"Latitude","[link](../json/demo-nodeattributes-hiv_latitude.json)","Latitude of the node in decimal degrees. This can be used for several things, including determining infectiousness by latitude and defining the size of grid cells.","float","3.40282e+038","-3.40282e+038","-1"
"Longitude","[link](../json/demo-nodeattributes-hiv_longitude.json)","Longitude of the node in decimal degrees. This can be used for several things, including defining the size of grid cells.","float","-3.40282e+38","3.40282e+38","-1"
"NodeAttributes","[link](../json/demo-nodeattributes-hiv_nodeattributes.json)","The structure that contains parameters that add or modify information regarding the location, migration, habitat, and population of a simulation. Some **NodeAttributes** depend on values set in the configuration parameters.","json object","NA","NA","NA"
"Region","[link](../json/demo-nodeattributes-hiv_region.json)","Indicates whether or not the node has a road network for regional migration from (not to) the node. If set to 1, **Enable_Regional_Migration** in the configuration file must be set to 1 or migration will not occur (see :doc:`parameter-configuration-migration` parameters). Primarily used to turn off migration in particular nodes.","boolean","0","1","0"
"Seaport","[link](../json/demo-nodeattributes-hiv_seaport.json)","Indicates whether or not the node is connected by sea migration from (not to) the node. If set to 1, **Enable_Sea_Migration** in the configuration file must be set to 1 or migration will not occur (see :doc:`parameter-configuration-migration` parameters). Primarily used to turn off migration in particular nodes.","boolean","0","1","0"
